SalePrice,YearBuilt,YrSold,NumberSold,MonthSold,Size_sqf,Floor,N_Parkinglot_Ground,N_elevators,N_FacilitiesNearBy_PublicOffice,N_FacilitiesNearBy_Hospital,N_FacilitiesNearBy_Dpartmentstore,N_FacilitiesNearBy_Mall,N_FacilitiesNearBy_Park,N_SchoolNearBy_University,N_FacilitiesNearByTotal,N_SchoolNearByTotal
141592,2006,2007,1,8,814,3,111,0,2,1,1,1,0,2,6,9
51327,1985,2007,22,8,587,8,80,2,5,1,2,1,1,0,12,4
48672,1985,2007,22,8,587,6,80,2,5,1,2,1,1,0,12,4
380530,2006,2007,1,8,2056,8,249,11,1,1,0,1,0,2,3,7
221238,1993,2007,14,8,1761,3,523,20,6,2,0,1,0,5,14,17
35840,1992,2007,15,8,355,5,200,10,7,1,1,1,1,5,16,17
78318,1992,2007,15,8,644,2,142,8,5,1,1,1,0,4,9,14
61946,1993,2007,14,8,644,10,523,20,6,2,0,1,0,5,14,17
84070,1993,2007,14,8,644,3,523,20,6,2,0,1,0,5,14,17
83185,1992,2007,15,8,644,13,142,8,5,1,1,1,0,4,9,14
168141,1986,2007,21,8,1377,4,713,27,5,1,1,0,1,1,9,6
153982,1986,2007,21,8,914,11,713,27,5,1,1,0,1,1,9,6
200884,2007,2007,0,8,868,18,0,16,3,1,2,1,2,2,9,10
60176,1985,2007,22,9,587,7,80,2,5,1,2,1,1,0,12,4
93362,1986,2007,21,9,910,7,100,2,5,1,2,1,1,2,11,13
185840,1993,2007,14,9,1288,24,523,20,6,2,0,1,0,5,14,17
120796,1993,2007,14,9,914,2,523,20,6,2,0,1,0,5,14,17
64601,1992,2007,15,9,576,5,200,10,7,1,1,1,1,5,16,17
176991,1993,2007,14,9,1451,1,523,20,6,2,0,1,0,5,14,17
55752,1992,2007,15,9,576,1,200,10,7,1,1,1,1,5,16,17
38053,1992,2007,15,9,355,3,200,10,7,1,1,1,1,5,16,17
92035,1993,2007,14,9,644,20,523,20,6,2,0,1,0,5,14,17
181061,2007,2007,0,9,868,18,0,16,3,1,2,1,2,2,9,10
165486,1986,2007,21,9,1131,7,713,27,5,1,1,0,1,1,9,6
198230,2007,2007,0,9,868,12,0,16,3,1,2,1,2,2,9,10
185840,2007,2007,0,9,868,3,0,16,3,1,2,1,2,2,9,10
448672,2007,2007,0,9,1643,39,0,16,3,1,2,1,2,2,9,10
371681,2007,2007,0,9,1387,38,0,16,3,1,2,1,2,2,9,10
167964,2006,2007,1,9,903,10,123,11,3,1,1,1,0,1,8,11
