ID,SalePrice,YearBuilt,YrSold,Size,Floor,N_Parkinglot,N_elevators,N_FacilitiesNearBy,N_FacilitiesNearBy,N_FacilitiesNearBy,N_SchoolNearBy
1,141592,2006,2007,814,3,184,0,2,1,1,2
2,51327,1985,2007,587,8,76,2,5,1,1,1
3,48672,1985,2007,587,6,76,2,5,1,1,1
4,380530,2006,2007,2056,8,536,11,1,1,1,1
5,221238,1993,2007,1761,3,536,20,6,2,1,5
6,35840,1992,2007,355,5,0,10,7,1,1,5
7,78318,1992,2007,644,2,79,8,5,1,1,4
8,61946,1993,2007,644,10,536,20,6,2,1,5
9,84070,1993,2007,644,3,536,20,6,2,1,5
10,83185,1992,2007,644,13,79,8,5,1,1,4
11,168141,1986,2007,1377,4,0,27,5,1,0,1
12,153982,1986,2007,914,11,0,27,5,1,0,1
13,200884,2007,2007,868,18,1270,16,3,1,1,2
14,60176,1985,2007,587,7,76,2,5,1,1,1
15,93362,1986,2007,910,7,18,2,5,1,1,3
16,185840,1993,2007,1288,24,536,20,6,2,1,5
17,120796,1993,2007,914,2,536,20,6,2,1,5
18,64601,1992,2007,576,5,0,10,7,1,1,5
19,176991,1993,2007,1451,1,536,20,6,2,1,5
20,55752,1992,2007,576,1,0,10,7,1,1,5
21,38053,1992,2007,355,3,0,10,7,1,1,5
22,92035,1993,2007,644,20,536,20,6,2,1,5
23,181061,2007,2007,868,18,1270,16,3,1,1,2
24,165486,1986,2007,1131,7,0,27,5,1,0,1
25,198230,2007,2007,868,12,1270,16,3,1,1,2
26,185840,2007,2007,868,3,1270,16,3,1,1,2
27,448672,2007,2007,1643,39,1270,16,3,1,1,2
28,371681,2007,2007,1387,38,1270,16,3,1,1,2
29,167964,2006,2007,903,10,181,11,3,1,1,3
30,198230,2007,2007,868,13,1270,16,3,1,1,2
31,74336,1997,2007,644,15,56,4,7,1,1,0
32,46902,1985,2007,587,5,76,2,5,1,1,1
33,61946,1985,2007,676,7,76,2,5,1,1,1
34,292035,2006,2007,2056,2,536,11,1,1,1,1
35,221238,1993,2007,1761,15,536,20,6,2,1,5
36,38495,1992,2007,355,13,0,10,7,1,1,5
37,60619,1992,2007,576,2,0,10,7,1,1,5
38,138053,1993,2007,914,9,536,20,6,2,1,5
39,39823,1992,2007,355,5,0,10,7,1,1,5
40,36283,1992,2007,355,1,0,10,7,1,1,5
41,92920,1993,2007,644,18,536,20,6,2,1,5
42,176991,1993,2007,1451,17,536,20,6,2,1,5
43,134513,1993,2007,914,16,536,20,6,2,1,5
44,77876,1992,2007,644,7,79,8,5,1,1,4
45,85840,1993,2007,644,17,536,20,6,2,1,5
46,141592,1992,2007,1448,11,79,8,5,1,1,4
47,98230,1993,2007,644,12,536,20,6,2,1,5
48,35398,1992,2007,355,8,0,10,7,1,1,5
49,159292,1993,2007,1288,15,536,20,6,2,1,5
50,95575,1993,2007,644,14,536,20,6,2,1,5
51,147787,2005,2007,743,8,798,0,5,2,1,4
52,340707,2007,2007,1387,42,1270,16,3,1,1,2
53,197345,2007,2007,868,7,1270,16,3,1,1,2
54,181415,2007,2007,868,7,1270,16,3,1,1,2
55,346017,2007,2007,1387,28,1270,16,3,1,1,2
56,55752,1985,2007,587,9,76,2,5,1,1,1
57,347787,2007,2007,1334,10,605,5,4,1,1,1
58,347787,2007,2007,1334,17,605,5,4,1,1,1
59,383185,2007,2007,1444,16,605,5,4,1,1,1
60,462831,2007,2007,1690,22,605,5,4,1,1,1
61,407079,2007,2007,1629,4,605,5,4,1,1,1
62,360176,2007,2007,1483,4,605,5,4,1,1,1
63,315929,2007,2007,1334,3,605,5,4,1,1,1
64,289380,2007,2007,1273,3,605,5,4,1,1,1
65,348672,2007,2007,1483,3,605,5,4,1,1,1
66,465486,2007,2007,1690,25,605,5,4,1,1,1
67,393805,2007,2007,1629,3,605,5,4,1,1,1
68,408849,2007,2007,1690,3,605,5,4,1,1,1
69,348672,2007,2007,1483,3,605,5,4,1,1,1
70,371681,2007,2007,1483,9,605,5,4,1,1,1
71,326548,2007,2007,1334,4,605,5,4,1,1,1
72,348672,2007,2007,1483,4,605,5,4,1,1,1
73,371681,2007,2007,1483,6,605,5,4,1,1,1
74,348672,2007,2007,1483,5,605,5,4,1,1,1
75,371681,2007,2007,1483,8,605,5,4,1,1,1
76,337168,2007,2007,1483,3,605,5,4,1,1,1
77,360176,2007,2007,1483,4,605,5,4,1,1,1
78,360176,2007,2007,1483,6,605,5,4,1,1,1
79,95132,1986,2007,910,15,18,2,5,1,1,3
80,110619,1993,2007,914,1,536,20,6,2,1,5
81,163716,2005,2007,914,8,798,0,5,2,1,4
82,232212,2007,2007,1103,24,524,10,2,2,2,2
83,86725,1993,2007,644,15,536,20,6,2,1,5
84,172566,1993,2007,1761,4,536,20,6,2,1,5
85,194690,1993,2007,2337,18,536,20,6,2,1,5
86,36283,1992,2007,355,4,0,10,7,1,1,5
87,60176,1992,2007,576,14,0,10,7,1,1,5
88,88495,1993,2007,644,19,536,20,6,2,1,5
